,Symbol,Industry,Sector
147,ELGIEQUIP,Capital Goods,Capital Goods-Non Electrical Equipment
148,EMAMILTD,Fast Moving Consumer Goods,FMCG
149,EMCURE,Healthcare,Pharmaceuticals
150,ENDURANCE,Automobile and Auto Components,Auto Ancillaries
151,ENGINERSIN,Construction,Infrastructure Developers & Operators
152,ERIS,Healthcare,Pharmaceuticals
153,ESCORTS,Capital Goods,Automobile - 4 Wheelers
154,ETERNAL,Consumer Services,E-Commerce/App based Aggregator
155,EXIDEIND,Automobile and Auto Components,Auto Ancillaries
156,NYKAA,Consumer Services,E-Commerce/App based Aggregator
157,FEDERALBNK,Financial Services,Banks - Private
158,FACT,Chemicals,Fertilizers
159,FINCABLES,Capital Goods,Cables
160,FINPIPE,Capital Goods,Plastic products
161,FSL,Services,IT - Software
162,FIVESTAR,Financial Services,NBFC
163,FORTIS,Healthcare,Healthcare
164,GAIL,Oil Gas & Consumable Fuels,Gas Distribution
165,GVT&D,Capital Goods,Capital Goods - Electrical Equipment
166,GMRAIRPORT,Services,Miscellaneous
167,GRSE,Capital Goods,Aerospace & Defence
168,GICRE,Financial Services,Insurance
169,GILLETTE,Fast Moving Consumer Goods,FMCG
170,GLAND,Healthcare,Pharmaceuticals
171,GLAXO,Healthcare,Pharmaceuticals
172,GLENMARK,Healthcare,Pharmaceuticals
173,MEDANTA,Healthcare,Healthcare
174,GODIGIT,Financial Services,Insurance
175,GPIL,Capital Goods,Steel
176,GODFRYPHLP,Fast Moving Consumer Goods,Tobacco Products
177,GODREJAGRO,Fast Moving Consumer Goods,FMCG
178,GODREJCP,Fast Moving Consumer Goods,FMCG
179,GODREJIND,Diversified,Chemicals
180,GODREJPROP,Realty,Realty
181,GRANULES,Healthcare,Pharmaceuticals
182,GRAPHITE,Capital Goods,Capital Goods-Non Electrical Equipment
183,GRASIM,Construction Materials,Textiles
184,GRAVITA,Metals & Mining,Non Ferrous Metals
185,GESHIP,Services,Shipping
186,FLUOROCHEM,Chemicals,Chemicals
187,GUJGASLTD,Oil Gas & Consumable Fuels,Gas Distribution
188,GMDCLTD,Metals & Mining,Mining & Mineral products
189,GNFC,Chemicals,Chemicals
190,GPPL,Services,Marine Port & Services
191,GSPL,Oil Gas & Consumable Fuels,Gas Distribution
192,HEG,Capital Goods,Capital Goods-Non Electrical Equipment
193,HBLENGINE,Capital Goods,Auto Ancillaries
194,HCLTECH,Information Technology,IT - Software
195,HDFCAMC,Financial Services,AMC
196,HDFCBANK,Financial Services,Banks - Private
197,HDFCLIFE,Financial Services,Insurance
198,HFCL,Telecommunication,Telecomm Equipment & Infra Services
199,HAPPSTMNDS,Information Technology,IT - Software
200,HAVELLS,Consumer Durables,Consumer Durables
201,HEROMOTOCO,Automobile and Auto Components,Automobile - 2 Wheelers
202,HSCL,Chemicals,Chemicals
203,HINDALCO,Metals & Mining,Non Ferrous Metals
204,HAL,Capital Goods,Aerospace & Defence
205,HINDCOPPER,Metals & Mining,Non Ferrous Metals
206,HINDPETRO,Oil Gas & Consumable Fuels,Refineries
207,HINDUNILVR,Fast Moving Consumer Goods,FMCG
208,HINDZINC,Metals & Mining,Non Ferrous Metals
209,POWERINDIA,Capital Goods,Capital Goods - Electrical Equipment
210,HOMEFIRST,Financial Services,Housing Finance
211,HONASA,Fast Moving Consumer Goods,Retail
212,HONAUT,Capital Goods,Electronics
213,HUDCO,Financial Services,Housing Finance
214,HYUNDAI,Automobile and Auto Components,Automobile - 4 Wheelers
215,ICICIBANK,Financial Services,Banks - Private
216,ICICIGI,Financial Services,Insurance
217,ICICIPRULI,Financial Services,Insurance
218,IDBI,Financial Services,Banks - Private
219,IDFCFIRSTB,Financial Services,Banks - Private
220,IFCI,Financial Services,NBFC
221,IIFL,Financial Services,NBFC
222,INOXINDIA,Capital Goods,Packaging
223,IRB,Construction,Infrastructure Developers & Operators
224,IRCON,Construction,Infrastructure Developers & Operators
225,ITC,Fast Moving Consumer Goods,Tobacco Products
226,ITI,Telecommunication,Aerospace & Defence
227,INDGN,Healthcare,Healthcare
228,INDIACEM,Construction Materials,Cement
229,INDIAMART,Consumer Services,E-Commerce/App based Aggregator
230,INDIANB,Financial Services,Banks - Public
231,IEX,Financial Services,Financial Services
232,INDHOTEL,Consumer Services,Hotels & Restaurants
233,IOC,Oil Gas & Consumable Fuels,Refineries
234,IOB,Financial Services,Banks - Public
235,IRCTC,Consumer Services,Railways
236,IRFC,Financial Services,Term-Lending Institutions
237,IREDA,Financial Services,Term-Lending Institutions
238,IGL,Oil Gas & Consumable Fuels,Gas Distribution
239,INDUSTOWER,Telecommunication,Telecomm Equipment & Infra Services
240,INDUSINDBK,Financial Services,Banks - Private
241,NAUKRI,Consumer Services,E-Commerce/App based Aggregator
242,INFY,Information Technology,IT - Software
243,INOXWIND,Capital Goods,Capital Goods - Electrical Equipment
244,INTELLECT,Information Technology,IT - Software
245,INDIGO,Services,Air Transport Service
246,IGIL,Services,Miscellaneous
247,IKS,Information Technology,IT - Software
248,IPCALAB,Healthcare,Pharmaceuticals
249,JBCHEPHARM,Healthcare,Pharmaceuticals
250,JKCEMENT,Construction Materials,Cement
251,JBMA,Automobile and Auto Components,Auto Ancillaries
252,JKTYRE,Automobile and Auto Components,Tyres
